season,round_number,home_team,away_team
2025,1,Gaziantep,Galatasaray
2025,1,Samsunspor,Genclerbirligi
2025,1,Antalyaspor,Kasimpasa
2025,1,Fenerbahce,Alanyaspor
2025,1,Rizespor,Goztep
2025,1,Eyupspor,Konyaspor
2025,1,Karagumruk,Buyuksehyr
2025,1,Kayserispor,Besiktas
2025,1,Trabzonspor,Kocaelispor
2025,2,Galatasaray,Karagumruk
2025,2,Kocaelispor,Samsunspor
2025,2,Alanyaspor,Rizespor
2025,2,Goztep,Fenerbahce
2025,2,Genclerbirligi,Antalyaspor
2025,2,Konyaspor,Gaziantep
2025,2,Buyuksehyr,Kayserispor
2025,2,Besiktas,Eyupspor
2025,2,Kasimpasa,Trabzonspor
2025,3,Karagumruk,Goztep
2025,3,Fenerbahce,Kocaelispor
2025,3,Gaziantep,Genclerbirligi
2025,3,Konyaspor,Besiktas
2025,3,Samsunspor,Kasimpasa
2025,3,Rizespor,Buyuksehyr
2025,3,Trabzonspor,Antalyaspor
2025,3,Kayserispor,Galatasaray
2025,3,Eyupspor,Alanyaspor
2025,4,Goztep,Konyaspor
2025,4,Kasimpasa,Gaziantep
2025,4,Kocaelispor,Kayserispor
2025,4,Antalyaspor,Karagumruk
2025,4,Galatasaray,Rizespor
2025,4,Buyuksehyr,Eyupspor
2025,4,Genclerbirligi,Fenerbahce
2025,4,Alanyaspor,Besiktas
2025,4,Trabzonspor,Samsunspor
2025,5,Eyupspor,Galatasaray
2025,5,Karagumruk,Kasimpasa
2025,5,Samsunspor,Antalyaspor
2025,5,Besiktas,Buyuksehyr
2025,5,Konyaspor,Alanyaspor
2025,5,Kayserispor,Goztep
2025,5,Fenerbahce,Trabzonspor
2025,5,Gaziantep,Kocaelispor
2025,5,Rizespor,Genclerbirligi
2025,6,Goztep,Besiktas
2025,6,Genclerbirligi,Eyupspor
2025,6,Antalyaspor,Kayserispor
2025,6,Trabzonspor,Gaziantep
2025,6,Buyuksehyr,Alanyaspor
2025,6,Kocaelispor,Rizespor
2025,6,Kasimpasa,Fenerbahce
2025,6,Samsunspor,Karagumruk
2025,6,Galatasaray,Konyaspor
2025,7,Alanyaspor,Galatasaray
2025,7,Eyupspor,Goztep
2025,7,Gaziantep,Samsunspor
2025,7,Karagumruk,Trabzonspor
2025,7,Konyaspor,Buyuksehyr
2025,7,Rizespor,Kasimpasa
2025,7,Fenerbahce,Antalyaspor
2025,7,Kayserispor,Genclerbirligi
2025,7,Besiktas,Kocaelispor
2025,8,Antalyaspor,Rizespor
2025,8,Trabzonspor,Kayserispor
2025,8,Genclerbirligi,Alanyaspor
2025,8,Kocaelispor,Eyupspor
2025,8,Galatasaray,Besiktas
2025,8,Kasimpasa,Konyaspor
2025,8,Karagumruk,Gaziantep
2025,8,Goztep,Buyuksehyr
2025,8,Samsunspor,Fenerbahce
2025,9,Konyaspor,Kocaelispor
2025,9,Besiktas,Genclerbirligi
2025,9,Rizespor,Trabzonspor
2025,9,Buyuksehyr,Galatasaray
2025,9,Kayserispor,Samsunspor
2025,9,Alanyaspor,Goztep
2025,9,Gaziantep,Antalyaspor
2025,9,Fenerbahce,Karagumruk
2025,9,Eyupspor,Kasimpasa
2025,10,Karagumruk,Kayserispor
2025,10,Kocaelispor,Alanyaspor
2025,10,Trabzonspor,Eyupspor
2025,10,Antalyaspor,Buyuksehyr
2025,10,Galatasaray,Goztep
2025,10,Genclerbirligi,Konyaspor
2025,10,Kasimpasa,Besiktas
2025,10,Gaziantep,Fenerbahce
2025,10,Samsunspor,Rizespor
2025,11,Buyuksehyr,Kocaelispor
2025,11,Goztep,Genclerbirligi
2025,11,Galatasaray,Trabzonspor
2025,11,Konyaspor,Samsunspor
2025,11,Kayserispor,Kasimpasa
2025,11,Besiktas,Fenerbahce
2025,11,Alanyaspor,Gaziantep
2025,11,Eyupspor,Antalyaspor
2025,11,Rizespor,Karagumruk
2025,12,Genclerbirligi,Buyuksehyr
2025,12,Gaziantep,Rizespor
2025,12,Trabzonspor,Alanyaspor
2025,12,Antalyaspor,Besiktas
2025,12,Kasimpasa,Goztep
2025,12,Karagumruk,Konyaspor
2025,12,Kocaelispor,Galatasaray
2025,12,Fenerbahce,Kayserispor
2025,12,Samsunspor,Eyupspor
2025,13,Kayserispor,Gaziantep
2025,13,Eyupspor,Karagumruk
2025,13,Galatasaray,Genclerbirligi
2025,13,Goztep,Kocaelispor
2025,13,Alanyaspor,Kasimpasa
2025,13,Besiktas,Samsunspor
2025,13,Rizespor,Fenerbahce
2025,13,Buyuksehyr,Trabzonspor
2025,13,Konyaspor,Antalyaspor
2025,14,Kocaelispor,Genclerbirligi
2025,14,Rizespor,Kayserispor
2025,14,Gaziantep,Eyupspor
2025,14,Kasimpasa,Buyuksehyr
2025,14,Trabzonspor,Konyaspor
2025,14,Antalyaspor,Goztep
2025,14,Karagumruk,Besiktas
2025,14,Fenerbahce,Galatasaray
2025,14,Samsunspor,Alanyaspor
2025,15,Galatasaray,Samsunspor
2025,15,Eyupspor,Kayserispor
2025,15,Konyaspor,Rizespor
2025,15,Buyuksehyr,Fenerbahce
2025,15,Genclerbirligi,Karagumruk
2025,15,Kocaelispor,Kasimpasa
2025,15,Goztep,Trabzonspor
2025,15,Alanyaspor,Antalyaspor
2025,15,Besiktas,Gaziantep
2025,16,Kasimpasa,Genclerbirligi
2025,16,Rizespor,Eyupspor
2025,16,Kayserispor,Alanyaspor
2025,16,Antalyaspor,Galatasaray
2025,16,Gaziantep,Goztep
2025,16,Karagumruk,Kocaelispor
2025,16,Samsunspor,Buyuksehyr
2025,16,Trabzonspor,Besiktas
2025,16,Fenerbahce,Konyaspor
2025,17,Kocaelispor,Antalyaspor
2025,17,Konyaspor,Kayserispor
2025,17,Eyupspor,Fenerbahce
2025,17,Besiktas,Rizespor
2025,17,Alanyaspor,Karagumruk
2025,17,Galatasaray,Kasimpasa
2025,17,Goztep,Samsunspor
2025,17,Buyuksehyr,Gaziantep
2025,17,Genclerbirligi,Trabzonspor
2025,18,Buyuksehyr,Karagumruk
2025,18,Galatasaray,Gaziantep
2025,18,Kasimpasa,Antalyaspor
2025,18,Genclerbirligi,Samsunspor
2025,18,Kocaelispor,Trabzonspor
2025,18,Alanyaspor,Fenerbahce
2025,18,Konyaspor,Eyupspor
2025,18,Besiktas,Kayserispor
2025,18,Goztep,Rizespor
2025,19,Trabzonspor,Kasimpasa
2025,19,Kayserispor,Buyuksehyr
2025,19,Samsunspor,Kocaelispor
2025,19,Karagumruk,Galatasaray
2025,19,Gaziantep,Konyaspor
2025,19,Antalyaspor,Genclerbirligi
2025,19,Rizespor,Alanyaspor
2025,19,Fenerbahce,Goztep
2025,19,Eyupspor,Besiktas
2025,20,Antalyaspor,Trabzonspor
2025,20,Kasimpasa,Samsunspor
2025,20,Alanyaspor,Eyupspor
2025,20,Buyuksehyr,Rizespor
2025,20,Besiktas,Konyaspor
2025,20,Goztep,Karagumruk
2025,20,Genclerbirligi,Gaziantep
2025,20,Galatasaray,Kayserispor
2025,20,Kocaelispor,Fenerbahce
2025,21,Karagumruk,Antalyaspor
2025,21,Samsunspor,Trabzonspor
2025,21,Eyupspor,Buyuksehyr
2025,21,Konyaspor,Goztep
2025,21,Rizespor,Galatasaray
2025,21,Besiktas,Alanyaspor
2025,21,Kayserispor,Kocaelispor
2025,21,Fenerbahce,Genclerbirligi
2025,21,Gaziantep,Kasimpasa
2025,22,Antalyaspor,Samsunspor
2025,22,Galatasaray,Eyupspor
2025,22,Genclerbirligi,Rizespor
2025,22,Alanyaspor,Konyaspor
2025,22,Trabzonspor,Fenerbahce
2025,22,Kocaelispor,Gaziantep
2025,22,Goztep,Kayserispor
2025,22,Buyuksehyr,Besiktas
2025,22,Kasimpasa,Karagumruk
2025,23,Rizespor,Kocaelispor
2025,23,Eyupspor,Genclerbirligi
2025,23,Alanyaspor,Buyuksehyr
2025,23,Konyaspor,Galatasaray
2025,23,Kayserispor,Antalyaspor
2025,23,Gaziantep,Trabzonspor
2025,23,Besiktas,Goztep
2025,23,Karagumruk,Samsunspor
2025,23,Fenerbahce,Kasimpasa
2025,24,Buyuksehyr,Konyaspor
2025,24,Trabzonspor,Karagumruk
2025,24,Kasimpasa,Rizespor
2025,24,Kocaelispor,Besiktas
2025,24,Galatasaray,Alanyaspor
2025,24,Goztep,Eyupspor
2025,24,Genclerbirligi,Kayserispor
2025,24,Antalyaspor,Fenerbahce
2025,24,Samsunspor,Gaziantep
2025,25,Buyuksehyr,Goztep
2025,25,Besiktas,Galatasaray
2025,25,Gaziantep,Karagumruk
2025,25,Rizespor,Antalyaspor
2025,25,Konyaspor,Kasimpasa
2025,25,Fenerbahce,Samsunspor
2025,25,Eyupspor,Kocaelispor
2025,25,Alanyaspor,Genclerbirligi
2025,25,Kayserispor,Trabzonspor
2025,26,Antalyaspor,Gaziantep
2025,26,Karagumruk,Fenerbahce
2025,26,Kocaelispor,Konyaspor
2025,26,Galatasaray,Buyuksehyr
2025,26,Goztep,Alanyaspor
2025,26,Trabzonspor,Rizespor
2025,26,Kasimpasa,Eyupspor
2025,26,Genclerbirligi,Besiktas
2025,26,Samsunspor,Kayserispor
2025,27,Fenerbahce,Gaziantep
2025,27,Alanyaspor,Kocaelispor
2025,27,Goztep,Galatasaray
2025,27,Rizespor,Samsunspor
2025,27,Buyuksehyr,Antalyaspor
2025,27,Eyupspor,Trabzonspor
2025,27,Kayserispor,Karagumruk
2025,27,Besiktas,Kasimpasa
2025,27,Konyaspor,Genclerbirligi
2025,28,Genclerbirligi,Goztep
2025,28,Kasimpasa,Kayserispor
2025,28,Gaziantep,Alanyaspor
2025,28,Trabzonspor,Galatasaray
2025,28,Karagumruk,Rizespor
2025,28,Samsunspor,Konyaspor
2025,28,Antalyaspor,Eyupspor
2025,28,Fenerbahce,Besiktas
2025,28,Kocaelispor,Buyuksehyr
2025,29,Besiktas,Antalyaspor
2025,29,Buyuksehyr,Genclerbirligi
2025,29,Alanyaspor,Trabzonspor
2025,29,Kayserispor,Fenerbahce
2025,29,Konyaspor,Karagumruk
2025,29,Goztep,Kasimpasa
2025,29,Galatasaray,Kocaelispor
2025,29,Eyupspor,Samsunspor
2025,29,Rizespor,Gaziantep
2025,30,Antalyaspor,Konyaspor
2025,30,Fenerbahce,Rizespor
2025,30,Karagumruk,Eyupspor
2025,30,Kocaelispor,Goztep
2025,30,Genclerbirligi,Galatasaray
2025,30,Kasimpasa,Alanyaspor
2025,30,Samsunspor,Besiktas
2025,30,Trabzonspor,Buyuksehyr
2025,30,Gaziantep,Kayserispor
2025,31,Eyupspor,Gaziantep
2025,31,Kayserispor,Rizespor
2025,31,Goztep,Antalyaspor
2025,31,Genclerbirligi,Kocaelispor
2025,31,Buyuksehyr,Kasimpasa
2025,31,Galatasaray,Fenerbahce
2025,31,Alanyaspor,Samsunspor
2025,31,Besiktas,Karagumruk
2025,31,Konyaspor,Trabzonspor
2025,32,Antalyaspor,Alanyaspor
2025,32,Karagumruk,Genclerbirligi
2025,32,Fenerbahce,Buyuksehyr
2025,32,Gaziantep,Besiktas
2025,32,Kasimpasa,Kocaelispor
2025,32,Kayserispor,Eyupspor
2025,32,Samsunspor,Galatasaray
2025,32,Trabzonspor,Goztep
2025,32,Rizespor,Konyaspor
2025,33,Alanyaspor,Kayserispor
2025,33,Buyuksehyr,Samsunspor
2025,33,Besiktas,Trabzonspor
2025,33,Eyupspor,Rizespor
2025,33,Galatasaray,Antalyaspor
2025,33,Genclerbirligi,Kasimpasa
2025,33,Goztep,Gaziantep
2025,33,Kocaelispor,Karagumruk
2025,33,Konyaspor,Fenerbahce
2025,34,Antalyaspor,Kocaelispor
2025,34,Karagumruk,Alanyaspor
2025,34,Fenerbahce,Eyupspor
2025,34,Gaziantep,Buyuksehyr
2025,34,Kasimpasa,Galatasaray
2025,34,Kayserispor,Konyaspor
2025,34,Samsunspor,Goztep
2025,34,Trabzonspor,Genclerbirligi
2025,34,Rizespor,Besiktas
